iter	Passed	Remaining
0	174	34770
1	178	17683
2	182	11975
3	186	9158
4	190	7415
5	192	6234
6	195	5383
7	199	4785
8	201	4284
9	204	3885
10	206	3554
11	209	3282
12	214	3084
13	217	2886
14	219	2707
15	221	2548
16	223	2410
17	226	2285
18	229	2182
19	231	2081
20	233	1990
21	235	1907
22	238	1833
23	240	1763
24	242	1700
25	245	1644
26	248	1593
27	251	1542
28	253	1493
29	255	1448
30	259	1416
31	262	1376
32	266	1350
33	272	1330
34	278	1311
35	283	1291
36	287	1268
37	291	1244
38	295	1220
39	303	1212
40	307	1190
41	311	1171
42	316	1156
43	323	1145
44	326	1125
45	330	1105
46	333	1085
47	336	1065
48	340	1050
49	344	1033
50	348	1018
51	350	998
52	354	982
53	357	965
54	361	952
55	363	934
56	366	919
57	370	907
58	374	894
59	380	886
60	387	882
61	392	874
62	396	862
63	404	859
64	408	849
65	413	839
66	420	835
67	429	833
68	437	831
69	443	824
70	450	817
71	455	810
72	461	802
73	467	796
74	472	787
75	475	776
76	480	767
77	486	760
78	489	749
79	492	738
80	498	732
81	505	726
82	514	725
83	520	719
84	525	711
85	533	707
86	537	697
87	539	686
88	544	678
89	546	668
90	550	659
91	552	648
92	555	638
93	558	629
94	560	619
95	563	610
96	565	600
97	568	591
98	570	582
99	574	574
100	577	566
101	580	557
102	586	552
103	591	546
104	594	538
105	597	529
106	600	522
107	606	516
108	611	510
109	615	503
110	618	495
111	621	488
112	624	480
113	628	474
114	630	466
115	633	458
116	635	450
117	638	443
118	644	438
119	647	431
120	649	424
121	655	419
122	659	412
123	662	406
124	665	399
125	671	394
126	675	388
127	678	381
128	680	374
129	684	368
130	687	362
131	689	355
132	691	348
133	693	341
134	695	335
135	700	329
136	703	323
137	705	317
138	708	310
139	710	304
140	711	297
141	714	291
142	717	285
143	718	279
144	720	273
145	722	267
146	723	260
147	725	254
148	727	248
149	730	243
150	733	237
151	735	232
152	737	226
153	739	220
154	740	215
155	742	209
156	743	203
157	746	198
158	748	192
159	749	187
160	751	182
161	753	176
162	755	171
163	757	166
164	759	161
165	762	156
166	764	151
167	766	145
168	767	140
169	770	135
170	773	131
171	777	126
172	779	121
173	781	116
174	783	111
175	785	107
176	786	102
177	788	97
178	789	92
179	791	87
180	793	83
181	795	78
182	796	73
183	797	69
184	799	64
185	800	60
186	802	55
187	804	51
188	805	46
189	807	42
190	809	38
191	810	33
192	812	29
193	813	25
194	815	20
195	816	16
196	818	12
197	819	8
198	821	4
199	822	0
